datetime,water_level,pressure,water_temp
2022-01-03 10:00:00,1.11,1019.8,7.9
2022-01-03 11:00:00,1.579,1019.6,8.0
2022-01-03 12:00:00,1.825,1019.4,8.0
2022-01-03 13:00:00,2.042,1019.3,7.9
2022-01-03 14:00:00,2.103,1020.6,7.9
2022-01-03 15:00:00,1.824,1020.8,7.9
2022-01-03 16:00:00,1.466,1020.6,8.2
2022-01-03 17:00:00,1.026,1018.6,8.2
2022-01-03 18:00:00,0.536,1016.2,7.7
2022-01-03 19:00:00,0.138,1016.5,7.9
2022-01-03 20:00:00,-0.003,1017.0,7.8
2022-01-03 21:00:00,0.233,1017.3,7.9
2022-01-03 22:00:00,0.822,1018.7,7.6
2022-01-03 23:00:00,1.273,1019.9,7.7
2022-01-04 00:00:00,1.469,1021.3,7.8
2022-01-04 01:00:00,1.59,1022.5,7.7
2022-01-04 02:00:00,1.586,1023.1,7.8
2022-01-04 03:00:00,1.576,1023.8,7.7
2022-01-04 04:00:00,1.465,1024.1,7.7
2022-01-04 05:00:00,1.144,1024.9,7.5
2022-01-04 06:00:00,0.682,1025.8,7.3
2022-01-04 07:00:00,0.287,1026.8,7.1
2022-01-04 08:00:00,0.045,1027.4,7.2
2022-01-04 09:00:00,0.173,1028.1,7.2
2022-01-04 10:00:00,0.666,1029.0,7.1
2022-01-04 11:00:00,1.173,1029.6,7.1
2022-01-04 12:00:00,1.564,1030.1,7.5
2022-01-04 13:00:00,1.916,1031.2,7.5
2022-01-04 14:00:00,2.134,1031.6,7.3
2022-01-04 15:00:00,2.147,1031.4,7.2
2022-01-04 16:00:00,1.806,1031.2,7.2
2022-01-04 17:00:00,1.32,1029.9,7.4
2022-01-04 18:00:00,0.815,1028.7,7.4
2022-01-04 19:00:00,0.497,1028.8,7.4
2022-01-04 20:00:00,0.247,1028.6,7.4
2022-01-04 21:00:00,0.073,1028.7,7.4
2022-01-04 22:00:00,0.263,1028.8,7.4
2022-01-04 23:00:00,0.666,1028.7,7.1
2022-01-05 00:00:00,1.107,1028.7,7.5
2022-01-05 01:00:00,1.494,1028.6,7.4
2022-01-05 02:00:00,1.716,1027.9,7.4
2022-01-05 03:00:00,1.764,1027.6,7.2
2022-01-05 04:00:00,1.547,1026.9,7.1
2022-01-05 05:00:00,1.2,1026.5,7.1
2022-01-05 06:00:00,0.821,1025.2,7.2
2022-01-05 07:00:00,0.496,1024.7,6.6
2022-01-05 08:00:00,0.232,1023.6,6.7
2022-01-05 09:00:00,0.093,1022.3,6.8
2022-01-05 10:00:00,0.228,1021.0,6.7
2022-01-05 11:00:00,0.741,1019.7,6.7
2022-01-05 12:00:00,1.271,1018.8,7.0
2022-01-05 13:00:00,1.623,1017.2,7.1
2022-01-05 14:00:00,1.858,1016.6,7.1
2022-01-05 15:00:00,2.0,1015.6,7.0
2022-01-05 16:00:00,1.896,1014.7,7.0
2022-01-05 17:00:00,1.531,1012.8,7.0
2022-01-05 18:00:00,1.128,1011.3,7.1
2022-01-05 19:00:00,0.747,1009.7,7.1
2022-01-05 20:00:00,0.422,1008.9,7.0
2022-01-05 21:00:00,0.12,1008.8,7.0
2022-01-05 22:00:00,0.022,1008.4,7.1
2022-01-05 23:00:00,0.297,1007.4,7.0
2022-01-06 00:00:00,0.769,1007.5,6.8
2022-01-06 01:00:00,1.233,1007.6,7.0
2022-01-06 02:00:00,1.448,1007.3,7.0
2022-01-06 03:00:00,1.586,1006.7,7.0
2022-01-06 04:00:00,1.648,1006.0,7.0
2022-01-06 05:00:00,1.47,1006.1,7.0
2022-01-06 06:00:00,1.131,1006.0,7.0
2022-01-06 07:00:00,0.727,1007.1,7.0
2022-01-06 08:00:00,0.398,1007.1,6.9
2022-01-06 09:00:00,0.137,1007.8,6.8
2022-01-06 10:00:00,0.058,1008.8,6.7
2022-01-06 11:00:00,0.222,1010.0,6.6
2022-01-06 12:00:00,0.658,1010.7,6.5
2022-01-06 13:00:00,1.052,1011.3,6.6
2022-01-06 14:00:00,1.323,1012.9,6.8
2022-01-06 15:00:00,1.521,1013.7,6.7
2022-01-06 16:00:00,1.62,1013.7,6.7
2022-01-06 17:00:00,1.478,1013.7,6.5
2022-01-06 18:00:00,1.113,1013.3,6.5
2022-01-06 19:00:00,0.775,1013.3,6.5
2022-01-06 20:00:00,0.434,1013.0,6.6
2022-01-06 21:00:00,0.16,1013.4,6.6
2022-01-06 22:00:00,-0.042,1014.4,6.6
2022-01-06 23:00:00,-0.056,1015.2,6.5
2022-01-07 00:00:00,0.214,1014.6,6.4
2022-01-07 01:00:00,0.63,1014.9,6.5
2022-01-07 02:00:00,1.032,1014.0,6.6
2022-01-07 03:00:00,1.342,1013.5,6.7
2022-01-07 04:00:00,1.51,1013.7,6.5
2022-01-07 05:00:00,1.587,1011.7,6.6
2022-01-07 06:00:00,1.395,1010.2,6.6
2022-01-07 07:00:00,1.148,1009.6,6.6
2022-01-07 08:00:00,0.773,1008.4,6.4
2022-01-07 09:00:00,0.495,1007.5,6.3
2022-01-07 10:00:00,0.404,1007.9,6.0
2022-01-07 11:00:00,0.405,1008.7,6.2
2022-01-07 12:00:00,0.609,1008.7,5.8
2022-01-07 13:00:00,0.944,1009.3,6.2
2022-01-07 14:00:00,1.297,1009.9,6.2
2022-01-07 15:00:00,1.451,1010.2,6.6
2022-01-07 16:00:00,1.29,1010.5,6.3
2022-01-07 17:00:00,1.504,1010.0,6.6
2022-01-07 18:00:00,1.593,1010.5,6.5
2022-01-07 19:00:00,1.366,1010.9,6.2
2022-01-07 20:00:00,0.75,1012.2,6.1
2022-01-07 21:00:00,0.402,1013.7,6.0
2022-01-07 22:00:00,0.122,1015.7,6.0
2022-01-07 23:00:00,0.014,1017.4,6.0
2022-01-08 00:00:00,0.076,1018.7,6.0
2022-01-08 01:00:00,0.296,1020.1,6.0
2022-01-08 02:00:00,0.536,1021.0,5.5
2022-01-08 03:00:00,0.785,1022.0,6.5
2022-01-08 04:00:00,0.995,1022.8,6.3
2022-01-08 05:00:00,1.209,1023.6,5.8
2022-01-08 06:00:00,1.345,1024.5,5.9
2022-01-08 07:00:00,1.137,1026.0,5.3
2022-01-08 08:00:00,0.778,1027.7,5.8
2022-01-08 09:00:00,0.417,1028.8,5.6
2022-01-08 10:00:00,0.181,1030.5,5.5
2022-01-08 11:00:00,-0.022,1032.0,5.2
2022-01-08 12:00:00,-0.116,1032.9,5.7
2022-01-08 13:00:00,0.065,1033.9,5.2
2022-01-08 14:00:00,0.46,1035.6,5.3
2022-01-08 15:00:00,0.903,1037.0,5.6
2022-01-08 16:00:00,1.124,1037.0,6.0
2022-01-08 17:00:00,1.224,1036.2,5.7
2022-01-08 18:00:00,1.265,1036.1,6.2
2022-01-08 19:00:00,1.116,1035.8,6.0
2022-01-08 20:00:00,0.851,1035.9,5.9
2022-01-08 21:00:00,0.503,1036.3,5.3
2022-01-08 22:00:00,0.28,1036.3,5.6
2022-01-08 23:00:00,0.091,1036.4,5.6
2022-01-09 00:00:00,0.001,1036.6,5.6
2022-01-09 01:00:00,0.064,1036.9,5.6
2022-01-09 02:00:00,0.293,1036.5,5.6
2022-01-09 03:00:00,0.607,1035.6,5.5
2022-01-09 04:00:00,0.909,1034.4,6.0
2022-01-09 05:00:00,1.212,1035.1,5.7
2022-01-09 06:00:00,1.355,1034.1,5.5
2022-01-09 07:00:00,1.323,1034.2,5.2
2022-01-09 08:00:00,1.04,1033.1,5.2
2022-01-09 09:00:00,0.715,1031.7,5.1
2022-01-09 10:00:00,0.37,1030.0,4.9
2022-01-09 11:00:00,0.257,1029.2,4.6
2022-01-09 12:00:00,0.164,1028.1,4.5
2022-01-09 13:00:00,0.215,1027.0,5.1
2022-01-09 14:00:00,0.438,1026.6,5.0
2022-01-09 15:00:00,0.736,1025.4,5.1
2022-01-09 16:00:00,0.913,1024.6,5.5
2022-01-09 17:00:00,1.038,1021.4,5.8
2022-01-09 18:00:00,1.137,1020.3,5.4
2022-01-09 19:00:00,1.228,1019.2,5.4
2022-01-09 20:00:00,1.127,1017.9,5.4
2022-01-09 21:00:00,1.004,1017.5,5.5
2022-01-09 22:00:00,0.7,1017.1,5.5
2022-01-09 23:00:00,0.355,1016.8,5.3
2022-01-10 00:00:00,0.12,1016.2,5.5
2022-01-10 01:00:00,-0.001,1016.1,5.5
2022-01-10 02:00:00,0.085,1015.5,5.5
2022-01-10 03:00:00,0.352,1015.1,5.4
2022-01-10 04:00:00,0.689,1015.1,5.5
2022-01-10 05:00:00,0.954,1015.4,6.0
2022-01-10 06:00:00,1.109,1015.3,5.9
2022-01-10 07:00:00,1.094,1015.7,5.7
2022-01-10 08:00:00,0.973,1016.4,5.8
2022-01-10 09:00:00,0.784,1017.2,5.7
2022-01-10 10:00:00,0.557,1018.1,5.3
2022-01-10 11:00:00,0.329,1019.0,5.2
2022-01-10 12:00:00,0.184,1019.8,5.4
2022-01-10 13:00:00,0.01,1020.8,5.3
2022-01-10 14:00:00,-0.081,1022.0,5.0
2022-01-10 15:00:00,0.095,1022.1,5.1
2022-01-10 16:00:00,0.317,1022.0,4.8
2022-01-10 17:00:00,0.592,1021.4,5.3
2022-01-10 18:00:00,0.826,1020.1,5.7
2022-01-10 19:00:00,1.098,1020.0,5.5
2022-01-10 20:00:00,1.137,1020.4,5.5
2022-01-10 21:00:00,0.938,1020.7,5.3
2022-01-10 22:00:00,0.643,1020.8,4.4
2022-01-10 23:00:00,0.349,1021.4,4.7
2022-01-11 00:00:00,0.19,1021.5,4.2
2022-01-11 01:00:00,0.109,1021.6,4.8
2022-01-11 02:00:00,0.079,1021.4,4.8
2022-01-11 03:00:00,0.119,1021.6,5.1
2022-01-11 04:00:00,0.285,1022.0,5.1
2022-01-11 05:00:00,0.556,1022.5,5.1
2022-01-11 06:00:00,0.816,1023.6,5.5
2022-01-11 07:00:00,0.932,1025.0,5.2
2022-01-11 08:00:00,0.934,1026.5,5.5
2022-01-11 09:00:00,0.855,1027.2,5.4
2022-01-11 10:00:00,0.745,1028.4,4.5
2022-01-11 11:00:00,0.527,1030.1,3.8
2022-01-11 12:00:00,0.334,1031.2,4.3
2022-01-11 13:00:00,0.198,1032.1,4.7
2022-01-11 14:00:00,0.043,1033.8,4.2
2022-01-11 15:00:00,-0.005,1034.4,4.3
2022-01-11 16:00:00,0.163,1034.3,4.8
2022-01-11 17:00:00,0.444,1033.6,4.7
2022-01-11 18:00:00,0.747,1033.2,4.6
2022-01-11 19:00:00,0.926,1033.4,5.7
2022-01-11 20:00:00,1.034,1033.3,5.3
2022-01-11 21:00:00,1.031,1034.0,5.4
2022-01-11 22:00:00,1.039,1034.6,4.7
2022-01-11 23:00:00,0.878,1035.2,5.0
2022-01-12 00:00:00,0.605,1034.7,4.8
2022-01-12 01:00:00,0.356,1034.5,4.7
2022-01-12 02:00:00,0.268,1033.6,4.7
2022-01-12 03:00:00,0.278,1033.5,4.8
2022-01-12 04:00:00,0.508,1033.0,5.0
2022-01-12 05:00:00,0.803,1032.4,5.0
2022-01-12 06:00:00,1.108,1031.1,4.9
2022-01-12 07:00:00,1.368,1031.1,5.2
2022-01-12 08:00:00,1.477,1030.0,3.9
2022-01-12 09:00:00,1.481,1029.0,4.3
2022-01-12 10:00:00,1.376,1027.8,4.3
2022-01-12 11:00:00,1.207,1027.2,5.0
2022-01-12 12:00:00,1.003,1025.8,5.0
2022-01-12 13:00:00,0.777,1025.2,4.7
2022-01-12 14:00:00,0.577,1024.7,4.7
2022-01-12 15:00:00,0.375,1023.5,3.9
2022-01-12 16:00:00,0.275,1022.1,4.7
2022-01-12 17:00:00,0.324,1020.9,4.1
2022-01-12 18:00:00,0.482,1019.8,4.7
2022-01-12 19:00:00,0.779,1019.1,4.7
2022-01-12 20:00:00,0.969,1019.0,6.8
2022-01-12 21:00:00,0.991,1018.9,6.3
2022-01-12 22:00:00,0.92,1018.9,5.6
2022-01-12 23:00:00,0.81,1019.2,5.7
2022-01-13 00:00:00,0.667,1019.6,5.0
2022-01-13 01:00:00,0.46,1019.9,4.9
2022-01-13 02:00:00,0.295,1019.8,4.9
2022-01-13 03:00:00,0.12,1019.7,5.3
2022-01-13 04:00:00,0.108,1019.5,5.2
2022-01-13 05:00:00,0.297,1018.9,4.6
2022-01-13 06:00:00,0.642,1018.5,4.7
2022-01-13 07:00:00,1.004,1018.4,5.0
2022-01-13 08:00:00,1.231,1018.2,5.2
2022-01-13 09:00:00,1.33,1017.5,5.1
2022-01-13 10:00:00,1.383,1017.4,5.5
2022-01-13 11:00:00,1.297,1017.0,5.1
2022-01-13 12:00:00,1.093,1017.7,5.1
2022-01-13 13:00:00,0.82,1017.8,5.0
2022-01-13 14:00:00,0.577,1017.8,4.9
2022-01-13 15:00:00,0.421,1017.7,4.9
2022-01-13 16:00:00,0.325,1016.9,4.8
2022-01-13 17:00:00,0.33,1015.4,5.0
2022-01-13 18:00:00,0.499,1014.5,5.0
2022-01-13 19:00:00,0.716,1013.5,5.0
2022-01-13 20:00:00,0.974,1013.5,5.0
2022-01-13 21:00:00,1.166,1013.2,5.0
2022-01-13 22:00:00,1.317,1013.0,5.3
2022-01-13 23:00:00,1.337,1012.9,5.3
2022-01-14 00:00:00,1.197,1013.0,5.2
2022-01-14 01:00:00,0.961,1012.6,5.3
2022-01-14 02:00:00,0.678,1012.2,5.0
2022-01-14 03:00:00,0.512,1011.8,5.3
2022-01-14 04:00:00,0.442,1011.1,5.3
2022-01-14 05:00:00,0.505,1010.5,5.0
2022-01-14 06:00:00,0.767,1009.8,5.0
2022-01-14 07:00:00,1.092,1009.7,5.3
2022-01-14 08:00:00,1.401,1009.9,5.4
2022-01-14 09:00:00,1.592,1009.0,5.3
2022-01-14 10:00:00,1.68,1008.3,5.7
2022-01-14 11:00:00,1.691,1008.6,5.7
2022-01-14 12:00:00,1.526,1008.7,5.6
2022-01-14 13:00:00,1.318,1008.7,5.7
2022-01-14 14:00:00,1.015,1008.7,5.6
2022-01-14 15:00:00,0.787,1008.9,5.3
2022-01-14 16:00:00,0.586,1008.5,5.4
2022-01-14 17:00:00,0.423,1007.8,5.5
2022-01-14 18:00:00,0.435,1007.7,5.5
2022-01-14 19:00:00,0.622,1007.6,5.5
2022-01-14 20:00:00,0.796,1008.0,5.4
2022-01-14 21:00:00,0.988,1008.6,5.6
2022-01-14 22:00:00,1.171,1009.3,5.9
2022-01-14 23:00:00,1.346,1010.3,5.6
2022-01-15 00:00:00,1.343,1011.4,5.4
2022-01-15 01:00:00,1.164,1012.3,5.2
2022-01-15 02:00:00,0.855,1013.3,4.7
2022-01-15 03:00:00,0.539,1013.9,4.7
2022-01-15 04:00:00,0.384,1014.6,5.3
2022-01-15 05:00:00,0.359,1015.5,5.5
2022-01-15 06:00:00,0.53,1015.9,5.0
2022-01-15 07:00:00,0.8,1017.3,4.9
2022-01-15 08:00:00,1.014,1018.5,4.6
2022-01-15 09:00:00,1.247,1019.8,5.4
2022-01-15 10:00:00,1.477,1020.8,5.4
2022-01-15 11:00:00,1.656,1021.8,5.3
2022-01-15 12:00:00,1.682,1023.0,4.7
2022-01-15 13:00:00,1.524,1024.2,4.5
2022-01-15 14:00:00,1.316,1025.5,5.0
2022-01-15 15:00:00,1.002,1026.5,4.8
2022-01-15 16:00:00,0.715,1026.4,4.3
2022-01-15 17:00:00,0.477,1026.2,4.6
2022-01-15 18:00:00,0.4,1026.5,5.0
2022-01-15 19:00:00,0.517,1026.2,4.9
2022-01-15 20:00:00,0.763,1026.6,4.9
2022-01-15 21:00:00,1.017,1027.1,5.0
2022-01-15 22:00:00,1.268,1027.8,5.4
2022-01-15 23:00:00,1.371,1028.2,5.4
2022-01-16 00:00:00,1.405,1028.7,5.1
2022-01-16 01:00:00,1.334,1029.6,5.2
2022-01-16 02:00:00,1.103,1029.8,5.0
2022-01-16 03:00:00,0.778,1030.0,4.6
2022-01-16 04:00:00,0.505,1030.1,4.7
2022-01-16 05:00:00,0.395,1031.3,4.7
2022-01-16 06:00:00,0.374,1029.6,4.4
2022-01-16 07:00:00,0.446,1030.5,4.4
2022-01-16 08:00:00,0.684,1029.8,4.4
2022-01-16 09:00:00,0.934,1030.3,4.6
2022-01-16 10:00:00,1.324,1030.0,5.3
2022-01-16 11:00:00,1.539,1030.4,4.7
2022-01-16 12:00:00,1.624,1030.5,5.3
2022-01-16 13:00:00,1.466,1030.8,4.7
2022-01-16 14:00:00,1.184,1030.9,4.3
2022-01-16 15:00:00,0.902,1030.7,4.5
2022-01-16 16:00:00,0.583,1028.9,4.2
2022-01-16 17:00:00,0.359,1027.5,4.4
2022-01-16 18:00:00,0.145,1026.0,4.5
2022-01-16 19:00:00,0.113,1024.8,4.6
2022-01-16 20:00:00,0.283,1023.4,4.4
2022-01-16 21:00:00,0.611,1021.4,4.5
2022-01-16 22:00:00,0.972,1021.2,4.2
2022-01-16 23:00:00,1.241,1019.5,5.3
2022-01-17 00:00:00,1.429,1018.4,5.1
2022-01-17 01:00:00,1.615,1015.5,5.3
2022-01-17 02:00:00,1.463,1013.5,4.9
2022-01-17 03:00:00,1.275,1010.1,4.9
2022-01-17 04:00:00,1.044,1007.1,4.9
2022-01-17 05:00:00,0.974,1003.5,4.6
2022-01-17 06:00:00,1.031,999.1,4.7
2022-01-17 07:00:00,1.16,995.1,4.7
2022-01-17 08:00:00,1.389,991.4,4.7
2022-01-17 09:00:00,1.874,989.1,4.7
2022-01-17 10:00:00,1.712,987.2,4.8
2022-01-17 11:00:00,1.773,986.3,5.1
2022-01-17 12:00:00,2.038,986.6,5.1
2022-01-17 13:00:00,2.293,986.2,4.9
2022-01-17 14:00:00,2.133,987.1,4.6
2022-01-17 15:00:00,1.953,985.9,5.0
2022-01-17 16:00:00,1.423,986.6,5.1
2022-01-17 17:00:00,0.942,986.4,4.9
2022-01-17 18:00:00,0.623,986.2,4.7
2022-01-17 19:00:00,0.388,986.7,4.7
2022-01-17 20:00:00,0.333,987.6,4.6
2022-01-17 21:00:00,0.465,,
2022-01-17 22:00:00,0.833,989.2,4.3
2022-01-17 23:00:00,1.166,990.4,4.9
2022-01-18 00:00:00,1.369,991.6,4.8
2022-01-18 01:00:00,1.294,992.6,4.8
2022-01-18 02:00:00,1.115,993.5,4.9
2022-01-18 03:00:00,0.831,994.8,4.7
2022-01-18 04:00:00,0.569,996.5,4.6
2022-01-18 05:00:00,0.317,997.2,4.6
2022-01-18 06:00:00,0.128,998.6,4.6
2022-01-18 07:00:00,-0.057,1000.5,4.3
2022-01-18 08:00:00,-0.159,1002.7,4.0
2022-01-18 09:00:00,-0.015,1003.8,3.8
2022-01-18 10:00:00,0.358,1005.1,4.0
2022-01-18 11:00:00,0.849,1006.6,4.0
2022-01-18 12:00:00,1.099,1008.1,4.0
2022-01-18 13:00:00,1.234,1009.5,4.0
2022-01-18 14:00:00,1.315,1010.8,4.2
2022-01-18 15:00:00,1.203,1011.8,3.8
2022-01-18 16:00:00,0.841,1012.3,3.7
2022-01-18 17:00:00,0.379,1012.4,4.0
2022-01-18 18:00:00,0.05,1013.2,4.0
2022-01-18 19:00:00,-0.211,1014.1,3.9
2022-01-18 20:00:00,-0.337,1014.9,4.0
2022-01-18 21:00:00,-0.263,1016.4,4.0
2022-01-18 22:00:00,0.075,1017.9,3.8
2022-01-18 23:00:00,0.508,1019.4,3.9
2022-01-19 00:00:00,0.806,1020.5,4.0
2022-01-19 01:00:00,0.93,1021.0,4.1
2022-01-19 02:00:00,0.969,1021.5,4.2
2022-01-19 03:00:00,0.856,1022.0,4.3
2022-01-19 04:00:00,0.609,1022.3,4.3
2022-01-19 05:00:00,0.325,1021.9,4.0
2022-01-19 06:00:00,0.126,1022.2,3.8
2022-01-19 07:00:00,-0.025,1022.0,3.8
2022-01-19 08:00:00,-0.112,1022.4,3.9
2022-01-19 09:00:00,0.005,1022.1,3.5
2022-01-19 10:00:00,0.43,1022.0,3.6
2022-01-19 11:00:00,0.953,1021.3,3.8
2022-01-19 12:00:00,1.329,1021.3,4.0
2022-01-19 13:00:00,1.497,1021.3,3.9
2022-01-19 14:00:00,1.575,1021.4,4.2
2022-01-19 15:00:00,1.468,1020.1,4.1
2022-01-19 16:00:00,1.202,1019.1,4.4
2022-01-19 17:00:00,0.804,1017.4,4.4
2022-01-19 18:00:00,0.445,1016.1,4.4
2022-01-19 19:00:00,0.174,1015.1,4.3
2022-01-19 20:00:00,-0.006,1015.1,4.3
2022-01-19 21:00:00,-0.028,1014.6,4.3
2022-01-19 22:00:00,0.19,1014.6,4.2
2022-01-19 23:00:00,0.565,1015.1,4.0
2022-01-20 00:00:00,0.946,1015.6,4.6
2022-01-20 01:00:00,1.121,1015.6,4.5
2022-01-20 02:00:00,1.187,1015.6,4.4
2022-01-20 03:00:00,1.191,1015.3,4.3
2022-01-20 04:00:00,1.003,1015.7,4.4
2022-01-20 05:00:00,0.721,1015.2,4.3
2022-01-20 06:00:00,0.422,1014.6,4.4
2022-01-20 07:00:00,0.205,1015.0,4.4
2022-01-20 08:00:00,0.006,1016.0,4.3
2022-01-20 09:00:00,-0.06,1016.4,4.4
2022-01-20 10:00:00,0.141,1016.2,4.3
2022-01-20 11:00:00,0.562,1016.3,4.2
2022-01-20 12:00:00,1.064,1017.4,4.0
2022-01-20 13:00:00,1.314,1019.0,4.2
2022-01-20 14:00:00,1.405,1020.0,4.5
2022-01-20 15:00:00,1.363,1021.1,4.7
2022-01-20 16:00:00,1.216,1021.5,4.5
2022-01-20 17:00:00,0.923,1020.8,4.6
2022-01-20 18:00:00,0.54,1021.2,4.6
2022-01-20 19:00:00,0.243,1021.2,4.5
2022-01-20 20:00:00,0.003,1021.8,4.4
2022-01-20 21:00:00,-0.084,1022.4,4.4
2022-01-20 22:00:00,0.033,1023.4,4.2
2022-01-20 23:00:00,0.396,1024.9,4.1
2022-01-21 00:00:00,0.754,1025.9,4.1
2022-01-21 01:00:00,1.069,1026.7,4.1
2022-01-21 02:00:00,1.207,1027.6,4.4
2022-01-21 03:00:00,1.235,1028.5,4.4
2022-01-21 04:00:00,1.2,1029.5,4.5
2022-01-21 05:00:00,1.035,1029.7,4.4
2022-01-21 06:00:00,0.756,1029.6,4.3
2022-01-21 07:00:00,0.461,1030.6,4.0
2022-01-21 08:00:00,0.247,1030.8,4.0
2022-01-21 09:00:00,0.098,1031.4,3.8
2022-01-21 10:00:00,0.201,1031.8,3.9
2022-01-21 11:00:00,0.582,1032.6,3.6
2022-01-21 12:00:00,0.955,1033.8,3.8
2022-01-21 13:00:00,1.256,1034.8,4.2
2022-01-21 14:00:00,1.388,1035.3,4.3
2022-01-21 15:00:00,1.462,1035.7,4.3
2022-01-21 16:00:00,1.465,1035.5,4.0
2022-01-21 17:00:00,1.245,1034.7,4.0
2022-01-21 18:00:00,0.945,1034.1,3.9
2022-01-21 19:00:00,0.595,1033.7,4.2
2022-01-21 20:00:00,0.337,1033.6,3.8
2022-01-21 21:00:00,0.135,1034.1,3.9
2022-01-21 22:00:00,0.066,1034.3,3.9
2022-01-21 23:00:00,0.283,1034.6,3.7
2022-01-22 00:00:00,0.644,1034.9,3.7
2022-01-22 01:00:00,0.992,1035.0,3.5
2022-01-22 02:00:00,1.204,1034.8,4.5
2022-01-22 03:00:00,1.332,1034.6,4.3
2022-01-22 04:00:00,1.4,1034.3,4.5
2022-01-22 05:00:00,1.342,1033.8,4.1
2022-01-22 06:00:00,1.126,1032.8,4.1
2022-01-22 07:00:00,0.807,1032.2,4.1
2022-01-22 08:00:00,0.494,1031.5,3.6
2022-01-22 09:00:00,0.283,1030.9,3.5
2022-01-22 10:00:00,0.222,1030.6,3.5
2022-01-22 11:00:00,0.391,1030.6,3.8
2022-01-22 12:00:00,0.698,1031.1,3.6
2022-01-22 13:00:00,1.063,1031.2,3.4
2022-01-22 14:00:00,1.344,1030.6,4.3
2022-01-22 15:00:00,1.514,1030.8,4.1
2022-01-22 16:00:00,1.591,1030.0,4.2
2022-01-22 17:00:00,1.447,1028.4,3.8
2022-01-22 18:00:00,1.207,1026.6,3.8
2022-01-22 19:00:00,0.816,1025.5,3.9
2022-01-22 20:00:00,0.534,1025.0,3.7
2022-01-22 21:00:00,0.317,1023.9,3.7
2022-01-22 22:00:00,0.226,1023.3,3.9
2022-01-22 23:00:00,0.288,1022.8,3.8
2022-01-23 00:00:00,0.555,1022.5,3.7
2022-01-23 01:00:00,0.847,1022.1,3.6
2022-01-23 02:00:00,1.131,1021.3,4.0
2022-01-23 03:00:00,1.308,1020.6,4.2
2022-01-23 04:00:00,1.485,1019.9,3.9
2022-01-23 05:00:00,1.541,1019.3,3.5
2022-01-23 06:00:00,1.402,1018.8,2.9
2022-01-23 07:00:00,1.106,1018.3,3.8
2022-01-23 08:00:00,0.715,1017.7,3.7
